Travel ID,User ID,Travel/Stop,Trip Index,Start Time,End Time,Duration (Seconds),Start Lat,Start Lon,End Lat,End Lon,Final Mode,Predicted Mode,Main Activity,Validated?
7828216-7828217,643,Travel,8,2016-02-19 03:35:56 UTC,2016-02-19 03:36:45 UTC,49.0,1.3398533207667902,103.96098642830708,1.340720401634829,103.96246236654912,Foot,,,false
7828217,643,Stop,,2016-02-19 03:36:45 UTC,2016-02-19 06:54:48 UTC,11883,,,1.340720402,103.9624624,Foot,,--,FALSE
7828217-7829683,643,Travel,9,2016-02-19 06:54:48 UTC,2016-02-19 09:16:10 UTC,8482.0,1.340720401634829,103.96246236654912,1.3401032245801394,103.9601385115376,Default,,,false
7829683,643,Stop,,2016-02-19 09:16:10 UTC,2016-02-19 09:27:09 UTC,659,,,1.340103225,103.9601385,Default,,--,FALSE
7829683-7829685,643,Travel,10,2016-02-19 09:27:09 UTC,2016-02-19 09:33:01 UTC,352.0,1.3401032245801394,103.9601385115376,1.3424601178130933,103.9536892175222,Default,,,false
7829685,643,Stop,,2016-02-19 09:33:01 UTC,2016-02-19 09:36:28 UTC,207,,,1.342460118,103.9536892,Default,,Change Mode/Transfer,FALSE
7829685-7829686,643,Travel,10,2016-02-19 09:36:28 UTC,2016-02-19 09:42:19 UTC,351.0,1.3424601178130933,103.9536892175222,1.353448427364071,103.945366941938,Car/Van,,,false
7829686,643,Stop,,2016-02-19 09:42:19 UTC,2016-02-19 13:55:32 UTC,15193,,,1.353448427,103.9453669,Car/Van,,--,FALSE
7829686-7834316,643,Travel,11,2016-02-19 13:55:32 UTC,2016-02-19 14:02:49 UTC,437.0,1.353448427364071,103.945366941938,1.3274361437309694,103.94676504274753,LRT/MRT,,,false
7834316,643,Stop,,2016-02-19 14:02:49 UTC,2016-02-19 14:09:19 UTC,390,,,1.327436144,103.946765,LRT/MRT,,Change Mode/Transfer,FALSE
7834316-7834319,643,Travel,11,2016-02-19 14:09:19 UTC,2016-02-19 14:18:57 UTC,578.0,1.3274361437309694,103.94676504274753,1.3392953907515222,103.96161004861167,Car/Van,,,false
7834319,643,Stop,,2016-02-19 14:18:57 UTC,2016-02-19 14:23:05 UTC,248,,,1.339295391,103.96161,Car/Van,,Change Mode/Transfer,FALSE
